contrast_id,stage_id,left_arm,right_arm,threshold_id,seed,pair_status,left_status,right_status,left_rate,right_rate,left_minus_right_rate
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_20,1099057501,complete,complete,complete,0.20833333333333334,0.2708333333333333,-0.06249999999999997
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_20,1421875452,complete,complete,complete,0.3333333333333333,0.25,0.08333333333333331
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_20,1769977770,excluded-null,failed,complete,,0.2916666666666667,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_20,959809858,excluded-null,failed,complete,,0.2708333333333333,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_20,617806385,excluded-null,complete,failed,0.3958333333333333,,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_40,1099057501,complete,complete,complete,0.5625,0.5416666666666666,0.02083333333333337
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_40,1421875452,complete,complete,complete,0.5,0.5416666666666666,-0.04166666666666663
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_40,1769977770,excluded-null,failed,complete,,0.6666666666666666,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_40,959809858,excluded-null,failed,complete,,0.5625,
a_retrieval_only_minus_no_context,experiment-a,retrieval-only,no-context,h_lt_40,617806385,excluded-null,complete,failed,0.5833333333333334,,
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_1,1099057501,complete,complete,complete,0.0,0.0,0.0
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_1,1421875452,complete,complete,complete,0.0,0.0,0.0
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_1,1769977770,complete,complete,complete,0.0,0.020833333333333332,-0.020833333333333332
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_1,959809858,complete,complete,complete,0.0,0.020833333333333332,-0.020833333333333332
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_1,617806385,complete,complete,complete,0.0,0.0,0.0
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_20,1099057501,complete,complete,complete,0.020833333333333332,0.1875,-0.16666666666666666
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_20,1421875452,complete,complete,complete,0.22916666666666666,0.25,-0.020833333333333343
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_20,1769977770,complete,complete,complete,0.22916666666666666,0.20833333333333334,0.020833333333333315
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_20,959809858,complete,complete,complete,0.08333333333333333,0.22916666666666666,-0.14583333333333331
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_20,617806385,complete,complete,complete,0.041666666666666664,0.1875,-0.14583333333333334
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_40,1099057501,complete,complete,complete,0.3333333333333333,0.4791666666666667,-0.14583333333333337
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_40,1421875452,complete,complete,complete,0.5625,0.5,0.0625
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_40,1769977770,complete,complete,complete,0.4791666666666667,0.3958333333333333,0.08333333333333337
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_40,959809858,complete,complete,complete,0.2708333333333333,0.4166666666666667,-0.14583333333333337
c_full_minus_unverified_dual,experiment-c,full,unverified-dual,h_lt_40,617806385,complete,complete,complete,0.375,0.4791666666666667,-0.10416666666666669
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_1,1099057501,complete,complete,complete,0.08333333333333333,0.1875,-0.10416666666666667
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_1,1421875452,complete,complete,complete,0.08333333333333333,0.25,-0.16666666666666669
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_1,1769977770,complete,complete,complete,0.0625,0.3125,-0.25
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_1,959809858,complete,complete,complete,0.20833333333333334,0.25,-0.04166666666666666
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_1,617806385,complete,complete,complete,0.14583333333333334,0.25,-0.10416666666666666
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_20,1099057501,complete,complete,complete,0.4583333333333333,0.20833333333333334,0.24999999999999997
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_20,1421875452,complete,complete,complete,0.2916666666666667,0.3958333333333333,-0.10416666666666663
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_20,1769977770,complete,complete,complete,0.3125,0.375,-0.0625
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_20,959809858,complete,complete,complete,0.3333333333333333,0.4375,-0.10416666666666669
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_20,617806385,complete,complete,complete,0.2916666666666667,0.4166666666666667,-0.125
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_40,1099057501,complete,complete,complete,0.6875,0.6041666666666666,0.08333333333333337
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_40,1421875452,complete,complete,complete,0.4791666666666667,0.6041666666666666,-0.12499999999999994
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_40,1769977770,complete,complete,complete,0.5208333333333334,0.5208333333333334,0.0
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_40,959809858,complete,complete,complete,0.5208333333333334,0.4375,0.08333333333333337
c_verified_error_forced_minus_unverified_error_forced,experiment-c,verified-error-forced,unverified-error-forced,h_lt_40,617806385,complete,complete,complete,0.5833333333333334,0.5208333333333334,0.0625
